-1.0  -3.41
1.0  6.18
-1.0  -6.92
1.0  -5.30
1.0  -1.50
1.0  -8.05
1.0  9.78
1.0  -1.38
-1.0  8.31
1.0  5.80
1.0  2.24
-1.0  0.98
1.0  4.98
1.0  -0.82
-1.0  0.41
1.0  -5.14
-1.0  -4.54
1.0  0.34
1.0  -9.27
1.0  6.36
-1.0  9.73
1.0  -9.89
1.0  -2.58
-1.0  6.76
-1.0  8.46
1.0  9.98
1.0  -3.71
1.0  -3.18
1.0  2.98
-1.0  2.95
1.0  1.13
-1.0  3.73
1.0  7.95
1.0  6.62
1.0  2.49
-1.0  -9.28
-1.0  6.39
1.0  -1.03
-1.0  -0.99
1.0  -1.21
-1.0  7.26
1.0  -3.53
1.0  1.22
-1.0  1.32
1.0  -4.42
1.0  4.89
1.0  7.99
1.0  -8.97
-1.0  -5.08
1.0  2.44
1.0  -4.79
-1.0  -0.69
1.0  2.57
1.0  -4.50
1.0  -2.82
-1.0  8.26
-1.0  -2.88
-1.0  6.76
1.0  0.45
1.0  -4.83
1.0  -1.59
1.0  -3.96
1.0  -9.82
1.0  9.38
1.0  0.27
1.0  -6.63
1.0  8.83
-1.0  1.83
1.0  -4.48
1.0  4.77
-1.0  7.68
1.0  6.93
1.0  -6.49
1.0  -9.53
1.0  -9.49
1.0  -2.91
1.0  -9.71
-1.0  -4.49
1.0  9.97
1.0  9.59
-1.0  -8.88
-1.0  -6.95
-1.0  -3.53
-1.0  6.11
1.0  5.55
1.0  0.01
1.0  -0.60
1.0  4.65
1.0  -4.91
-1.0  5.32
-1.0  1.02
1.0  3.96
1.0  -6.87
1.0  -9.40
1.0  2.84
-1.0  0.55
1.0  -2.37
1.0  3.29
1.0  4.32
1.0  -1.90
